answer_id,question_id,anon_id,user_file_id,text,directory,is_doublespaced,is_plagiarized,is_deleted
31997,4206,aa0,69641,"'OK.
The worst meal experience that I have had was in the Atlanta Airport. Few months ago, the first time I came to Pittsburgh, I decided to have lunched there. The menu was composed of many different dishes with ambiguous meaning. A showy dish stole my attention, ""Chicken HOONY"". I have to admit that I donÂ´t remember the exact name. It consisted of great many breast chicken pieces, recovered by several spices and so much sauce. My major surprise came when I felt plenty of spicy flavor. I was disappointed. It was all my lunch. Unfortunately, I had to go to the place that I was trying to avoid...Mc Donalds!!!.'",null,0,0,0
32129,4199,aa0,69853,"'The article ""English as Co star"" support the fact English is leading languages in science, math, tech, and another important fields in social life. This argument is the background in the article called ""can English be dethroned?"". however both article disclose arguments in opposite directions with something of overlapping.
English seen as Co star discusses about other languages that are assuming important roles in the world such as Mandarin, Spanish, Indi-hurdu and Arabic. They are grow up due to the increased number of each language native speaker and the emerging of powerful economics. That article predicts English would share the  leadership with arising languages, also the author shows a increasing trend to learn foreign languages between native English speaker in USA. It might explain why the study of a second language has been increasing as a requirement to get an employment. On the other hand, the can English be dethronedÂ´s author disclose English will maintain the actual dominion over other languages. Even more, th author suggest English will assume this role as part of a process called ""linguicide"" that literally imply the disappearance of other minor or less used languages. 
CARLOS A. GOMEZ'",null,0,0,0
32572,4260,aa0,70901,"'www.TED.com
Conference: Mosquitos, malaria and education
Author: Bill Gates
Summary:
Bill Gates, in this conference, explained two big problems society has to face in next years. Malaria and education were exposed. Malaria is considered a high burden disease with most of its victims living in developing world. More resources from private industry are needed in order to extend proven social interventions and vaccine research. In education, teacherÂ´s quality seems to be the most important fact for studentÂ´s success. Identify and reward these teachers are only the beginning in order to improve education system in US.
Carlos Andres Gomez
Listening 5T
'",null,0,0,0
32877,4314,aa0,71617,"'I believe I am a person with many nuances. IÂ´m a person who enjoy simple things of life such as walking through a park, playing a soccer game or drink some beers with friends whom I appreciate. Some of whom had shared time with me, said that I used to make jokes frequently. Well this jokes, which are sometimes not well accepted, are made in order to laugh a little about life. Once time, a man to whom I made a joke, misunderstood me. Fortunately, that incident was not serious. Sometimes, when IÂ´m facing difficult situations, I could be that man whose feeling are occult. In those situations, I am more reserved. But most of time, I am extroverted, which of course, have many advantages. For example, It helps to figured out problems that involve socially interaction with other people.
CARLOS A [Last Name]'",null,0,0,0
33286,4340,aa0,72491,'All the team members attributed the defeat to the extremely high temperature in the game field.',null,0,0,0
33287,4341,aa0,72491,'The COURAGE study recieved many critics due to multiple biases at the patient selection process.',null,0,0,0
33288,4342,aa0,72491,"'Tioglitazone(ACtos*), a drug used in type II diabetic patients, exhibits deleterious cardiovascular  adverse effects, because of that the FDA retired Actos from the market.'",null,0,0,0
33289,4343,aa0,72491,'President Uribe decided to donÂ´t enter in conflict with Chavez. He (Uribe) considers that extending the conflict beyond borders is not his philosophy.',null,0,0,0
33290,4344,aa0,72491,'The ethical committee did not approve the survey. Its explanation was that the methodological design violates all the ethical principals.',null,0,0,0
33291,4374,aa0,72492,"'Gov. David A. Paterson of New York is set to announce that he wont seek the election after reports that he and the State Police had intervened in a domestic- assault against a senior aide, according to a person who told about the plans. '",null,0,0,0
33292,4375,aa0,72492,"'Mr. Paterson is expected to make the announcement on Friday afternoon. He would end his campaign. Less than a week after its official begin, with an angry speech at Hofstra University in Long Island.'",null,0,0,0
33293,4376,aa0,72492,"'As he was preparing the announcement, some newspaper editorial writers were demanding something more than the end to his campaign: they called for his resignation. That only added to the increasing sense that it would be nearly impossible for him to run the State and the campaign with the abuse case in the background.'",null,0,0,0
33294,4377,aa0,72492,"'Still, as recent as Thursday evening, Mr. Peterson, who was elected lieutenant governor in Novemeber 2006 and became governor in March 2008 after Eliot Spitzer resignation amid a prostitution scandal, had said that he would stay in the race.'",null,0,0,0
33295,4378,aa0,72492,"' ""I think the whole thing's very sad,"" the mayor said. ""ItÂ´s not good for the state to have a state government that isn't functioning as well as we need it to function in these very tough economic times.""'",null,0,0,0
33302,4346,aa0,72495,"'The Creative Spirit: Summary 
In this article the authors Goleman, Kaufman and Ray discuss about which are the underlying causes of why children lost their creative spirit and inspiration early in their educational lives. The authors discloses how as advance scholar years, children start to lose interest in their own creativity. It is said also in the article that natural talent could be threat by adult's aptitudes against childrenÂ´s creativity. The authors  mentioned the most common actions done by adults that end up children creativity. These actions are called creativity killers and represent real psychological pressures done early in childrenÂ´s life. Common creativity killers are surveillance, evaluation, rewards, competition, over-control, restricting choice and pressure. Other creativity killer that is mentioned by authors is time. The authors argued extensively about how adults whom are submerged in a complex timeless society, subtly and unconsciously have torn out children from a state of creativity. This state, which is characterized for being engrossed around one subject, is also known as Flow. Children who enter at kinder garden displaying many creative abilities, as the school advance; they are pushed to follow strict parameters whose unnoticed consequence is to kill the childhood creativity. 
 
'",null,0,0,0
33308,4347,aa0,72497,"'What is Flow?
Flow in the sense expressed in the text ""The Creative Spirit"", is a state of total immersion inside a topic or a creation. When ""flow"" is reached it means that the mind is engrossed around one topic, the time sensation disappears and the potential to produce something original is the higher point. The last time that I experienced a ""flow state"" was when I was writing the comparison contrast essay for my writing class. The circumstances around this state were: total concentration around my subject, cero interruptions and a profound reading to the supporting material that I was dealing with. It was at this time when I could write more extensively. Individual learners should propitiate this state submerging in a state of total concentration.  To achieve that, they must be able to leave behind all worldly preoccupations and set their mind ready to encourage a new creation. Schools might promote ""flow"" allowing to students to choose their most interesting topics and persuading them to create new knowledge from these ideas.
'",null,0,0,0
